hh_num,community_factor,age,sex_factor,race_factor,marriage_factor,housesize,property_factor,energy_factor,income,waterperson_factor,drinking,multiple,share,treat_domestic2,treat_drinking2,storage,cistern_elevated2,days_noservice,hours_noservice,intermittency
220,Timbire,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,2,12,108
220,Maldonado,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,Skipped,Adult man,No bottled water,single,no,treatment,none,store,no,4,21,159
221,Timbire,>60,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,<= $394,Adult woman,Bottled water,multiple,no,none,treatment,store,no,1,14,108
222,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,treatment,store,no,1,13,102
223,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,yes,3,14,128
223,Timbire,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,treatment,store,no,2,14,118
224,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult man,Bottled water,multiple,no,none,treatment,store,no,1,10,84
227,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,yes,2,4,68
227,Timbire,47-60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,11,77
228,Timbire,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,store,no,1,13,102
229,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,3,9,108
230,Timbire,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,1,14,108
230,Maldonado,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,treatment,none,no store,no,4,22,162
231,Timbire,>60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
232,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,4,18,150
232,Timbire,<36,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,1,14,108
233,Timbire,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,treatment,store,no,0,11,77
233,Maldonado,47-60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,3,22,160
234,Timbire,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,treatment,store,no,0,11,77
235,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,7,24,168
235,Maldonado,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,No bottled water,single,no,none,none,store,no,4,9,123
236,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,none,none,store,no,6,12,156
236,Timbire,36-46,hombre,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,1,13,102
239,Timbire,36-46,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,1,13,102
240,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,4,18,150
240,Maldonado,>60,hombre,mestizo,casado.o.union.libre,Medium (4-6),No,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,store,no,7,24,168
241,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Large (more than 6),Yes,Continuous,>394,Adult woman,Bottled water,single,no,treatment,none,store,no,3,20,152
241,Maldonado,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,No bottled water,single,no,treatment,none,store,no,0,21,147
242,Maldonado,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,2,21,153
243,Maldonado,47-60,hombre,mestizo,soltero,Medium (4-6),No,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,3,9,108
244,Maldonado,>60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult man,Bottled water,single,no,treatment,none,store,yes,0,23,161
245,Maldonado,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,5,23,166
246,Timbire,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,store,no,0,12,84
247,Maldonado,<36,hombre,mestizo,casado.o.union.libre,Small (up to 3),No,Interrupted,Skipped,Adult man,Bottled water,single,no,treatment,none,no store,no,2,22,158
248,Borbon,<36,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,5,17,154
249,Maldonado,>60,mujer/otro,mestizo,soltero,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,0,21,147
250,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),No,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,22,162
250,Timbire,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,store,no,0,14,98
250,Maldonado,47-60,hombre,mestizo,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,no store,no,0,23,161
251,Timbire,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,15,105
253,Timbire,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,no store,no,1,11,90
253,Maldonado,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,>394,Adult woman,Bottled water,single,no,none,none,store,no,0,22,154
254,Timbire,<36,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,No bottled water,single,no,none,none,store,no,1,13,102
255,Maldonado,>60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,Bottled water,multiple,no,none,treatment,store,no,0,22,154
257,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,store,no,7,24,168
257,Maldonado,>60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,no store,no,0,23,161
263,Maldonado,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,2,23,163
266,Borbon,36-46,hombre,mestizo,soltero,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,7,24,168
266,Timbire,36-46,mujer/otro,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,treatment,no store,no,0,12,84
268,Borbon,>60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,store,no,7,24,168
269,Timbire,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
269,Maldonado,47-60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,yes,0,23,161
270,Maldonado,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,0,22,154
271,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,5,20,160
271,Borbon,>60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,5,20,160
271,Maldonado,36-46,hombre,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,0,23,161
272,Maldonado,<36,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),No,Continuous,>394,Adult woman,Bottled water,single,no,none,none,no store,no,3,22,160
274,Maldonado,36-46,mujer/otro,mestizo,soltero,Medium (4-6),No,Interrupted,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,0,22,154
275,Maldonado,47-60,mujer/otro,afro-ecuatoriano,soltero,Large (more than 6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,0,21,147
276,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,3,18,144
276,Maldonado,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,no store,no,0,22,154
277,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,>394,Adult woman,Bottled water,multiple,no,none,none,store,no,3,12,120
281,Borbon,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,2,9,93
282,Maldonado,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,treatment,none,store,no,0,23,161
283,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,2,12,108
283,Maldonado,>60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,no store,no,0,23,161
284,Maldonado,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult woman,No bottled water,single,no,none,none,store,no,0,23,161
285,Maldonado,>60,mujer/otro,mestizo,soltero,Small (up to 3),No,Interrupted,>394,Adult woman,Bottled water,single,no,none,none,no store,no,2,22,158
286,Maldonado,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,>394,Adult woman,Bottled water,single,no,treatment,none,store,no,0,23,161
287,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,5,19,158
287,Maldonado,>60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,no store,no,0,23,161
288,Borbon,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,3,9,108
289,Borbon,>60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,3,12,120
289,Maldonado,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,treatment,none,no store,no,0,23,161
290,Maldonado,>60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,Bottled water,single,no,none,none,no store,no,0,23,161
293,Maldonado,<36,mujer/otro,mestizo,soltero,Medium (4-6),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,0,23,161
294,Borbon,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,store,no,3,14,128
300,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,2,4,68
302,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,3,4,88
302,Maldonado,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,3,9,108
304,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,3,0,72
304,Maldonado,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,yes,3,4,88
305,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,3,4,88
306,Borbon,>60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,3,0,72
306,Maldonado,<36,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,4,22,162
307,Borbon,47-60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,16,144
308,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,4,18,150
310,Maldonado,36-46,mujer/otro,mestizo,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,1,9,78
312,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,multiple,no,none,none,store,no,4,12,132
312,Maldonado,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,1,9,78
313,Borbon,>60,hombre,mestizo,casado.o.union.libre,Large (more than 6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,no store,no,3,12,120
314,Maldonado,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,1,9,78
318,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,no store,yes,3,4,88
318,Maldonado,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,1,9,78
321,Maldonado,>60,hombre,mestizo,casado.o.union.libre,Small (up to 3),No,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,3,9,108
322,Maldonado,<36,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,2,9,93
323,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,yes,2,4,68
323,Maldonado,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,2,9,93
324,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,yes,2,0,48
324,Maldonado,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,no store,no,3,8,104
325,Maldonado,47-60,mujer/otro,mestizo,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,4,9,123
326,Borbon,>60,mujer/otro,mestizo,divorced/separated/widowed,Large (more than 6),Yes,Continuous,>394,Adult woman,Bottled water,multiple,no,none,none,store,no,2,12,108
327,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,2,4,68
328,Maldonado,36-46,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,1,9,78
329,Borbon,>60,mujer/otro,mestizo,soltero,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,2,4,68
329,Maldonado,<36,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),No,Interrupted,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,1,9,78
330,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,2,0,48
330,Maldonado,<36,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),No,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,3,9,108
331,Borbon,>60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,no store,yes,3,0,72
332,Maldonado,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,store,no,2,9,93
333,Borbon,>60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,3,14,128
333,Maldonado,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,4,9,123
335,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,no store,yes,3,9,108
336,Borbon,36-46,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,no store,no,3,9,108
337,Borbon,>60,hombre,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,3,12,120
339,Borbon,>60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,store,no,3,14,128
339,Maldonado,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,4,22,162
340,Maldonado,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,4,22,162
341,Maldonado,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),No,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,3,20,152
346,Borbon,<36,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,no store,yes,0,24,168
347,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,2,12,108
347,Maldonado,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult woman,Bottled water,single,no,treatment,none,store,no,1,22,156
348,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,3,9,108
348,Maldonado,36-46,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),No,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,store,no,1,9,78
349,Maldonado,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult woman,Bottled water,single,no,none,none,store,yes,0,23,161
349,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,2,12,108
349,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,3,16,136
350,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,>394,Adult man,Bottled water,multiple,no,none,none,store,no,3,18,144
351,Borbon,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),No,Continuous,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,9,63
351,Maldonado,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,no store,yes,0,21,147
356,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,treatment,store,no,4,18,150
357,Borbon,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,4,19,153
359,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,5,20,160
360,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,none,none,store,no,4,12,132
360,Maldonado,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,1,22,156
363,Borbon,47-60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,4,19,153
363,Maldonado,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,no store,no,0,23,161
366,Borbon,<36,hombre,mestizo,soltero,Medium (4-6),No,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,no store,no,4,17,147
366,Maldonado,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),No,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,no store,no,0,22,154
367,Maldonado,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,no,0,23,161
368,Maldonado,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,2,22,158
370,Borbon,36-46,mujer/otro,mestizo,soltero,Medium (4-6),No,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,store,no,3,19,148
373,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,3,12,120
375,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Large (more than 6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,no store,yes,4,18,150
377,Maldonado,>60,mujer/otro,mestizo,divorced/separated/widowed,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,none,none,store,no,0,23,161
380,Borbon,>60,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,none,none,store,no,4,22,162
380,Maldonado,>60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,treatment,none,store,yes,0,22,154
381,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),No,Interrupted,Skipped,Adult man,Bottled water,single,no,none,none,store,yes,3,21,156
382,Maldonado,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult man,Bottled water,single,no,treatment,treatment,store,yes,5,23,166
382,Borbon,<36,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),No,Interrupted,>394,Adult woman,Bottled water,single,no,none,none,store,yes,3,19,148
383,Borbon,47-60,mujer/otro,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,treatment,none,no store,no,5,18,156
383,Maldonado,36-46,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult man,Bottled water,single,no,treatment,none,store,no,3,22,160
384,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,Skipped,Adult woman,Bottled water,single,no,none,none,no store,no,5,0,120
384,Maldonado,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),Yes,Interrupted,>394,Adult woman,Bottled water,single,no,none,none,store,no,0,22,154
385,Maldonado,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,0,22,154
385,Maldonado,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,<= $394,Adult woman,Bottled water,single,no,treatment,none,store,no,0,22,154
386,Maldonado,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Continuous,>394,Adult woman,Bottled water,single,no,treatment,none,store,yes,1,22,156
386,Borbon,36-46,hombre,mestizo,casado.o.union.libre,Large (more than 6),No,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,7,24,168
387,Borbon,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),No,Continuous,<= $394,Adult man,No bottled water,single,no,treatment,treatment,no store,no,6,18,162
387,Maldonado,>60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Continuous,Skipped,Adult woman,Bottled water,single,no,none,none,no store,no,1,22,156
388,Maldonado,>60,mujer/otro,afro-ecuatoriano,divorced/separated/widowed,Small (up to 3),Yes,Interrupted,<= $394,Adult man,Bottled water,single,no,treatment,none,store,no,1,22,156
